date,adjOpen,adjHigh,adjLow,adjClose
20070103,12.327,12.369,11.7,11.971417
20070104,12.007,12.279,11.974,12.237131
20070105,12.253,12.314,12.057,12.149988
20070108,12.28,12.361,12.183,12.209988
20070109,12.35,13.283,12.164,13.224272
20070110,13.536,13.971,13.35,13.857129
20070111,13.706,13.826,13.586,13.685701
20070112,13.513,13.58,13.319,13.517129
20070116,13.669,13.893,13.636,13.871415
20070117,13.937,13.943,13.546,13.564272
20070118,13.157,13.159,12.721,12.724273
20070119,12.661,12.807,12.589,12.642845
20070122,12.734,12.737,12.236,12.398559
20070123,12.247,12.501,12.216,12.242845
20070124,12.383,12.45,12.297,12.385702
20070125,12.444,12.643,12.29,12.321416
20070126,12.445,12.481,12.141,12.197131
20070129,12.329,12.379,12.219,12.277131
20070130,12.347,12.356,12.179,12.221416
20070131,12.123,12.286,12.05,12.247131
20070201,12.319,12.324,12.106,12.105702
20070202,12.017,12.179,11.957,12.107131
20070205,12.043,12.176,11.991,11.991417
20070206,12.064,12.067,11.837,12.021417
20070207,12.071,12.34,11.936,12.307131
20070208,12.204,12.359,12.201,12.311416
20070209,12.269,12.314,11.887,11.895702
20070212,12.061,12.169,11.947,12.125702
20070213,12.166,12.184,12.043,12.099988
20070214,12.09,12.234,12.081,12.185702
20070215,12.206,12.231,12.111,12.172845
20070216,12.179,12.201,12.094,12.118559
20070220,12.093,12.309,12.023,12.271416
20070221,12.283,12.784,12.28,12.742844
20070222,12.971,12.973,12.647,12.78713
20070223,12.737,12.906,12.693,12.724273
20070226,12.834,12.857,12.516,12.664273
20070227,12.329,12.44,11.916,11.989988
20070228,11.857,12.229,11.857,12.087131
20070301,12.004,12.616,11.964,12.43713
20070302,12.396,12.506,12.173,12.201416
20070305,12.27,12.664,12.251,12.331402
20070306,12.543,12.616,12.486,12.598559
20070307,12.579,12.71,12.493,12.531416
20070308,12.656,12.674,12.494,12.571416
20070309,12.686,12.693,12.486,12.56713
20070312,12.581,12.856,12.57,12.838559
20070313,12.773,12.943,12.629,12.628559
20070314,12.657,12.857,12.56,12.85713
20070315,12.851,12.909,12.759,12.795701
20070316,12.791,12.856,12.76,12.798559
20070319,12.891,13.079,12.799,13.018558
20070320,13.05,13.12,13.009,13.068558
20070321,13.141,13.429,13.093,13.409987
20070322,13.39,13.48,13.286,13.422844
20070323,13.336,13.439,13.329,13.359987
20070326,13.427,13.7,13.329,13.692843
20070327,13.673,13.833,13.571,13.637129
20070328,13.554,13.629,13.307,13.319987
20070329,13.456,13.456,13.176,13.392844
20070330,13.469,13.526,13.25,13.272844
20070402,13.449,13.464,13.289,13.378558
20070403,13.449,13.604,13.394,13.499987
20070404,13.563,13.591,13.447,13.467129
20070405,13.446,13.526,13.36,13.525701
20070409,13.601,13.614,13.291,13.378558
