date,adjOpen,adjHigh,adjLow,adjClose
20070103,88.9,90.3,88.45,89.17
20070104,89.17,89.83,88.1,89.53
20070105,89.78,90.0,88.5,89.15
20070108,89.0,89.41,88.1,88.94
20070109,88.93,89.71,87.57,88.03
20070110,88.04,89.34,88.0,89.27
20070111,88.97,89.05,88.32,88.84
20070112,88.54,88.85,87.5,88.13
20070116,88.0,88.51,87.3,88.0
20070117,87.74,89.54,87.22,88.83
20070118,89.13,89.38,87.76,88.0
20070119,88.45,89.1,87.8,88.63
20070122,87.51,87.86,84.82,85.6
20070123,85.01,88.18,85.01,87.36
20070124,87.35,87.76,86.52,87.6
20070125,87.3,87.44,86.0,86.16
20070126,86.0,86.25,84.6,85.43
20070129,85.05,86.0,85.0,85.5
20070130,85.75,86.6,85.55,86.0
20070131,89.25,90.34,89.0,89.56
20070201,89.95,92.24,89.73,91.05
20070202,90.9,91.48,89.95,90.05
20070205,90.45,91.4,90.31,90.72
20070206,90.8,90.98,89.9,90.98
20070207,90.59,91.2,89.7,90.35
20070208,89.64,90.36,88.55,89.52
20070209,89.35,90.3,89.03,90.0
20070212,89.55,89.89,88.78,89.2
20070213,89.2,89.37,88.31,89.29
20070214,89.27,90.17,89.27,89.94
20070215,90.02,91.8,89.87,91.71
20070216,91.98,92.0,90.73,90.94
20070220,91.5,91.5,89.84,91.03
20070221,90.3,92.0,90.05,90.96
20070222,91.1,91.93,90.27,90.58
20070223,90.21,90.85,90.01,90.28
20070226,90.48,90.73,88.56,88.93
20070227,88.0,88.69,85.24,87.2
20070228,87.4,88.41,86.05,87.27
20070301,86.6,88.8,85.91,87.85
20070302,87.87,88.53,87.01,87.03
20070305,86.96,88.19,86.39,87.02
20070306,87.28,87.85,87.05,87.82
20070307,88.05,89.25,87.9,88.71
20070308,88.98,89.67,88.62,88.89
20070309,89.7,90.09,89.14,89.51
20070312,89.51,91.87,89.5,91.2
20070313,90.9,91.1,89.45,89.45
20070314,89.45,90.3,88.54,89.98
20070315,89.98,91.06,89.57,91.04
20070316,91.04,91.04,89.68,90.0
20070319,90.5,90.95,89.91,90.32
20070320,90.32,90.92,90.02,90.16
20070321,90.16,90.95,89.45,90.8
20070322,90.79,90.8,89.88,90.57
20070323,90.42,91.31,90.3,90.98
20070326,90.88,90.94,89.84,90.83
20070327,90.6,91.0,90.0,90.52
20070328,90.28,90.41,89.01,89.45
20070329,90.11,90.54,89.16,89.76
20070330,89.62,90.05,88.65,88.91
20070402,88.9,89.01,88.08,88.83
20070403,89.32,90.24,89.09,89.9
20070404,89.91,90.61,89.8,90.27
20070405,90.65,90.74,90.27,90.5
20070409,90.97,90.97,90.02,90.03
20070410,89.95,90.87,89.95,90.84
20070411,90.9,90.99,89.65,89.97
20070412,89.98,90.85,89.4,90.85
20070413,90.85,91.08,90.18,91.03
20070416,91.0,91.28,89.93,90.31
20070417,90.3,91.14,90.05,90.45
20070418,90.45,94.17,90.35,93.88
20070419,93.56,94.72,92.76,92.99
20070420,93.59,94.12,93.06,93.29
20070423,94.1,94.24,93.31,93.64
20070424,94.2,94.5,93.39,93.67
20070425,94.6,94.75,92.75,94.69
20070426,94.95,95.47,94.04,94.26
20070427,94.25,94.35,93.28,94.02
20070430,94.02,94.09,92.85,93.0
20070501,93.15,93.65,92.5,93.23
20070502,93.08,94.46,92.84,93.83
20070503,94.08,94.49,93.5,93.85
20070504,94.35,94.38,93.12,93.61
20070507,93.8,95.0,93.65,94.56
20070508,94.41,94.41,93.7,94.21
20070509,93.87,94.27,93.35,94.08
20070510,93.75,94.15,92.7,92.8
20070511,92.74,93.59,92.63,93.4
20070514,93.4,94.14,93.32,93.56
20070515,93.98,95.45,93.83,94.34
20070516,94.5,95.46,94.5,95.34
20070517,95.34,97.18,95.23,96.84
20070518,97.07,97.5,96.27,96.63
20070521,96.42,97.7,96.26,96.9
20070522,97.24,97.6,96.37,96.48
20070523,95.95,96.45,95.36,95.57
20070524,96.35,98.84,96.05,97.42
20070525,98.3,98.64,97.38,98.25
20070529,98.52,99.2,97.96,98.5
20070530,98.47,100.64,98.3,100.55
20070531,100.69,100.96,100.48,100.59
20070601,100.77,100.87,99.45,99.83
20070604,99.83,100.37,99.5,99.98
20070605,99.55,99.96,98.84,99.5
20070606,98.97,99.2,97.7,98.29
20070607,98.29,99.09,96.81,96.84
20070608,96.31,98.22,95.91,98.19
20070611,98.25,98.78,97.42,97.55
20070612,97.55,97.59,96.12,96.48
20070613,97.12,98.55,97.02,98.47
20070614,99.0,99.5,98.73,98.97
20070615,99.7,100.0,97.94,98.15
20070618,98.03,98.58,97.29,97.4
20070619,97.4,98.24,96.51,96.92
20070620,97.1,97.72,96.01,96.08
20070621,96.08,97.2,95.17,97.2
20070622,96.64,96.9,95.6,95.92
20070625,96.0,96.57,94.8,95.57
20070626,95.4,96.47,94.87,94.98
20070627,94.31,94.89,93.6,94.65
20070628,94.6,95.58,94.26,95.16
20070629,95.36,96.34,95.25,96.16
20070702,96.72,97.05,96.27,96.77
20070703,97.76,98.06,97.32,97.65
20070705,97.52,98.48,97.5,98.36
20070706,98.13,99.22,98.02,98.88
20070709,101.0,101.32,99.61,99.9
20070710,100.6,100.66,99.63,100.25
20070711,100.83,100.83,99.56,100.12
20070712,100.5,100.82,99.76,100.78
20070713,101.0,102.43,100.6,101.88
20070716,102.0,102.17,101.0,102.07
20070717,101.91,102.73,101.4,102.05
20070718,102.15,102.75,100.89,101.82
20070719,102.45,102.82,101.78,102.48
20070720,102.8,104.42,102.35,103.86
20070723,104.48,104.54,103.22,104.04
20070724,103.45,105.67,103.34,103.8
20070725,107.0,107.8,106.38,107.23
20070726,106.45,106.8,102.23,103.7
20070727,103.87,106.39,103.6,103.71
20070730,104.02,106.15,104.01,105.54
20070731,105.77,106.4,103.43,103.43
20070801,103.03,104.84,103.0,104.53
20070802,104.75,106.0,104.73,105.93
20070803,105.5,106.35,104.22,104.24
20070806,104.24,104.85,102.1,104.34
20070807,103.7,104.11,102.3,103.22
20070808,103.7,103.98,100.71,102.72
20070809,100.79,102.23,98.02,98.3
20070810,96.95,98.5,94.0,98.44
20070813,99.25,100.91,99.25,100.05
20070814,100.33,100.68,97.4,97.63
20070815,97.0,98.72,95.21,95.51
20070816,94.55,95.0,90.08,92.74
20070817,95.4,97.73,94.75,95.93
20070820,96.4,97.54,94.75,97.21
20070821,96.83,97.24,96.07,96.95
20070822,97.5,98.84,97.0,97.99
20070823,98.95,98.95,96.22,96.74
20070824,96.78,98.6,96.63,98.47
20070827,98.07,98.95,97.13,98.54
20070828,97.99,98.38,95.46,95.65
20070829,96.04,97.55,95.85,96.9
20070830,96.02,97.67,96.02,96.85
20070831,98.0,98.58,96.7,96.7
20070904,96.1,96.31,94.9,95.92
20070905,95.2,97.74,94.02,95.84
20070906,95.45,96.24,94.5,96.2
20070907,95.2,96.1,94.66,94.84
20070910,95.15,95.94,94.05,95.33
20070911,95.98,97.87,95.52,97.44
20070912,97.21,98.73,97.0,98.32
20070913,98.6,99.37,98.36,98.95
20070914,98.4,99.58,98.02,99.35
20070917,98.8,99.73,98.07,98.64
20070918,98.6,98.65,96.44,98.54
20070919,99.39,100.7,99.06,100.02
20070920,100.2,101.35,100.0,101.25
20070921,102.35,103.23,101.3,102.59
20070924,103.0,103.76,102.4,103.05
20070925,102.74,105.02,102.58,104.93
20070926,105.3,105.97,103.26,104.45
20070927,104.8,105.63,104.05,105.46
20070928,105.2,105.96,104.23,104.99
20071001,105.45,107.0,105.26,106.65
20071002,106.62,107.15,105.27,105.93
20071003,105.33,105.73,104.25,104.72
20071004,105.15,105.7,104.45,104.5
20071005,105.23,105.5,101.87,102.25
20071008,102.53,103.2,100.65,101.07
20071009,100.91,101.76,100.36,101.45
20071010,101.55,102.4,97.71,98.68
20071011,99.0,99.58,95.75,96.26
20071012,96.11,97.59,95.42,96.69
20071015,96.3,96.5,94.45,94.83
20071016,95.03,96.27,93.03,95.94
20071017,96.52,97.04,94.63,95.59
20071018,94.99,97.13,94.8,96.94
20071019,96.54,97.0,93.79,93.9
20071022,93.0,95.04,92.6,94.93
20071023,95.7,95.96,94.17,94.95
20071024,95.5,96.08,93.02,94.26
20071025,94.26,96.87,93.63,96.0
20071026,96.25,96.55,95.06,96.02
20071029,95.78,97.6,95.57,96.99
20071030,97.25,98.59,97.0,97.33
20071031,98.15,98.7,97.33,98.59
20071101,98.3,98.45,96.5,96.6
20071102,96.62,97.88,96.35,97.76
20071105,96.84,98.67,96.51,97.97
20071106,97.96,98.43,96.94,97.7
20071107,96.2,97.99,96.15,96.89
20071108,96.75,97.25,94.9,96.28
20071109,95.38,95.75,94.07,94.21
20071112,94.21,94.41,92.7,92.86
20071113,92.88,94.15,92.87,93.7
20071114,94.01,94.24,92.5,92.79
20071115,92.3,92.82,90.97,91.34
20071116,91.99,92.0,89.46,89.99
20071119,89.41,89.9,88.12,88.27
20071120,88.5,88.95,86.92,87.86
20071121,87.38,88.43,86.75,87.41
20071123,88.07,89.54,88.07,89.54
20071126,90.99,92.39,89.9,90.07
20071127,90.72,92.55,90.52,91.73
20071128,92.1,93.83,91.76,93.61
20071129,93.78,94.27,92.62,93.21
20071130,94.53,94.6,91.72,92.54
20071203,91.91,93.2,91.66,91.79
20071204,91.22,91.79,89.85,89.99
20071205,90.95,92.15,90.36,90.7
20071206,90.83,92.43,90.83,91.78
20071207,92.14,93.64,92.0,93.16
20071210,93.0,93.19,91.8,92.64
20071211,92.66,93.0,88.12,88.7
20071212,87.9,89.5,85.55,86.92
20071213,86.41,88.91,86.4,88.55
20071214,88.3,89.99,88.03,88.42
20071217,88.1,88.9,87.2,87.4
20071218,87.2,87.75,86.2,87.17
20071219,87.5,88.13,86.48,86.62
20071220,87.35,87.41,86.48,87.19
20071221,88.05,89.34,87.8,89.07
20071224,89.9,90.38,89.6,90.02
20071226,89.85,90.13,89.28,90.0
20071227,89.7,89.84,88.34,88.88
20071228,88.85,89.11,87.48,88.25
20071231,87.76,88.28,87.25,87.46
20080102,87.75,87.76,86.0,86.62
20080103,86.93,87.62,86.74,86.98
20080104,86.83,87.16,85.69,85.82
20080107,85.8,85.9,82.17,82.87
20080108,83.24,83.32,79.65,79.65
20080109,79.3,80.41,77.81,80.3
20080110,80.5,83.18,80.3,82.36
20080111,81.37,81.78,80.0,80.52
