date,adjOpen,adjHigh,adjLow,adjClose
20070103,53.3,54.18,52.99,53.33
20070104,53.33,53.89,53.05,53.67
20070105,53.59,53.59,53.03,53.24
20070108,53.08,53.64,52.8,53.45
20070109,53.6,53.71,52.97,53.5
20070110,53.26,53.7,53.16,53.58
20070111,53.48,53.65,53.18,53.26
20070112,53.3,53.6,53.26,53.38
20070116,53.46,53.53,53.31,53.44
20070117,53.5,53.71,53.15,53.32
20070118,53.42,53.55,53.21,53.29
20070119,53.46,53.64,53.25,53.59
20070122,53.59,54.05,53.54,53.65
20070123,53.25,53.45,52.9,53.32
20070124,53.47,53.48,52.56,53.2
20070125,53.2,53.21,52.34,52.4
20070126,52.52,52.8,51.72,52.04
20070129,51.99,52.22,51.35,51.46
20070130,51.41,52.13,51.36,52.12
20070131,52.0,52.8,51.85,52.58
20070201,52.76,52.97,52.65,52.84
20070202,52.83,53.16,52.73,52.74
20070205,52.74,53.12,52.37,52.88
20070206,52.77,53.33,52.75,53.21
20070207,53.35,53.49,53.25,53.36
20070208,53.35,53.39,53.0,53.32
20070209,53.42,53.5,52.66,52.99
20070212,53.2,53.31,52.98,53.04
20070213,53.2,53.79,53.1,53.73
20070214,53.76,54.17,53.57,54.05
20070215,53.92,54.21,53.8,53.85
20070216,53.64,54.07,53.6,54.05
20070220,53.87,54.17,53.71,54.05
20070221,53.75,53.97,53.71,53.91
20070222,53.85,54.1,53.49,53.7
20070223,53.7,53.74,52.78,52.86
20070226,53.09,53.15,52.6,52.79
20070227,52.26,52.61,49.05,50.8
20070228,50.7,51.5,50.36,50.87
20070301,50.25,50.9,49.8,50.38
20070302,50.1,50.34,49.82,50.01
20070305,49.6,50.28,49.56,49.64
20070306,50.1,51.09,50.1,50.94
20070307,51.06,51.1,50.41,50.59
20070308,50.93,51.33,50.59,50.77
20070309,51.15,51.21,50.67,50.95
20070312,50.95,51.18,50.7,51.09
20070313,50.75,50.79,49.26,49.46
20070314,49.52,49.92,48.36,49.77
20070315,49.63,50.82,49.54,50.1
20070316,50.37,50.45,49.5,49.62
20070319,49.99,50.39,49.7,50.37
20070320,50.37,50.83,50.31,50.76
20070321,50.78,52.0,50.58,51.86
20070322,51.93,52.07,51.41,51.64
20070323,51.75,52.0,51.42,51.69
20070326,51.59,51.67,50.92,51.56
20070327,51.56,51.99,51.35,51.84
20070328,51.44,51.48,50.5,50.77
20070329,50.96,51.25,50.69,51.19
20070330,51.17,51.41,50.28,51.02
20070402,51.2,51.25,50.13,50.43
20070403,50.6,50.89,50.47,50.86
20070404,50.99,51.03,50.59,50.89
20070405,50.73,50.92,50.38,50.85
20070409,50.9,50.96,50.52,50.86
20070410,50.94,51.17,50.81,51.07
20070411,51.07,51.07,50.31,50.51
20070412,50.31,50.35,50.06,50.28
20070413,50.25,50.58,50.15,50.42
20070416,50.87,51.68,50.75,51.23
20070417,51.3,51.45,51.09,51.3
20070418,51.25,52.2,51.25,51.82
20070419,51.1,51.39,50.73,50.91
20070420,51.25,51.3,50.33,51.04
20070423,51.04,51.05,50.32,50.51
20070424,50.65,50.9,50.25,50.62
20070425,50.95,51.24,50.5,51.23
20070426,51.12,51.17,50.65,50.72
20070427,50.72,50.85,50.4,50.77
20070430,50.93,51.22,50.77,50.9
20070501,51.17,51.25,50.67,50.93
20070502,51.02,51.19,50.92,51.01
20070503,51.22,51.58,51.1,51.23
20070504,51.5,51.56,51.09,51.24
20070507,51.48,51.56,51.28,51.42
20070508,51.28,51.49,51.09,51.4
20070509,51.38,51.63,51.19,51.45
20070510,51.45,51.46,50.54,50.58
20070511,50.82,51.09,50.62,50.95
20070514,51.03,51.15,50.56,50.78
20070515,50.99,51.39,50.92,50.94
20070516,51.22,51.42,50.86,51.12
20070517,51.12,51.24,50.87,51.13
20070518,51.28,51.37,51.15,51.28
20070521,51.3,51.35,51.07,51.23
20070522,51.19,51.62,51.17,51.5
20070523,51.7,51.9,51.33,51.35
20070524,51.27,51.53,50.96,51.05
20070525,51.2,51.25,50.79,51.2
20070529,51.23,51.46,51.16,51.19
20070530,50.64,50.82,50.49,50.81
20070531,50.96,51.04,50.47,50.71
20070601,50.97,50.99,50.48,50.78
20070604,50.78,50.92,50.62,50.85
20070605,50.7,50.8,50.55,50.66
20070606,50.5,50.65,50.26,50.33
20070607,50.3,50.5,49.74,49.79
20070608,49.92,50.28,49.56,50.26
20070611,50.1,50.29,49.81,50.05
20070612,49.85,50.1,49.65,49.66
20070613,49.89,50.38,49.75,50.36
20070614,50.36,50.45,50.0,50.08
20070615,50.17,50.38,49.99,50.08
20070618,50.01,50.14,49.83,49.91
20070619,50.17,50.82,50.15,50.55
20070620,50.79,50.8,49.94,49.98
20070621,50.02,50.13,49.71,49.89
20070622,49.84,49.89,48.95,48.95
20070625,49.18,49.48,48.66,48.85
20070626,49.16,49.4,48.8,48.8
20070627,48.61,49.2,48.55,49.19
20070628,49.1,49.46,48.76,49.09
20070629,49.23,49.35,48.59,48.89
20070702,49.24,49.35,48.98,49.32
20070703,49.54,49.7,49.24,49.55
20070705,49.6,49.65,49.03,49.37
20070706,49.31,49.37,48.85,49.15
