date,adjOpen,adjHigh,adjLow,adjClose
20070103,556.6,562.8,547.2,552.5
20070104,550.0,551.9,547.3,550.6
20070105,550.0,550.5,544.6,547.7
20070108,546.0,551.5,543.0,550.5
20070109,550.7,551.5,541.9,545.7
20070110,542.7,544.9,539.5,541.3
20070111,542.7,543.9,539.3,541.7
20070112,540.2,545.5,540.0,543.8
20070116,546.3,548.1,543.4,547.7
20070117,550.0,550.8,542.8,543.9
20070118,545.0,547.1,540.9,543.9
20070119,540.0,545.1,535.0,545.0
20070122,551.7,555.3,546.6,546.8
20070123,546.5,548.0,543.0,544.9
20070124,545.0,548.4,542.7,548.3
20070125,547.0,548.8,538.4,539.3
20070126,539.3,546.7,535.2,546.7
20070129,544.5,546.0,539.5,540.6
20070130,539.0,543.2,538.5,542.7
20070131,540.3,552.9,540.2,551.3
20070201,551.3,551.6,543.0,547.3
20070202,547.3,549.4,543.2,546.6
20070205,545.5,551.9,544.1,547.5
20070206,547.5,555.0,547.2,549.5
20070207,549.4,551.9,548.3,549.5
20070208,547.2,547.8,541.5,544.4
20070209,544.0,544.9,532.9,534.0
20070212,534.9,539.1,533.2,534.3
20070213,535.0,538.5,535.0,537.1
20070214,538.6,544.4,537.4,541.8
20070215,542.0,545.2,540.4,542.1
20070216,540.8,541.5,537.8,541.0
20070220,543.5,546.5,540.9,541.9
20070221,540.1,540.8,535.9,537.5
20070222,539.5,540.9,534.2,535.9
20070223,536.7,540.3,531.5,537.7
20070226,539.0,541.9,521.8,526.8
20070227,521.0,527.7,500.5,506.0
20070228,508.4,508.5,495.6,504.0
20070301,498.4,514.5,496.0,510.8
20070302,509.0,512.1,498.5,499.7
20070305,496.0,505.5,491.8,492.5
20070306,499.5,508.4,495.5,505.8
20070307,505.8,511.0,501.7,502.2
20070308,507.5,512.4,503.1,505.0
20070309,509.1,509.5,500.0,503.3
20070312,501.1,506.5,501.0,503.6
20070313,500.0,500.3,487.5,487.5
20070314,488.0,493.2,480.5,490.8
20070315,491.0,501.7,490.6,501.3
20070316,502.8,503.8,491.9,495.3
20070319,498.2,501.0,497.0,500.6
20070320,500.6,509.4,499.3,506.4
20070321,504.9,525.0,504.5,520.3
20070322,520.5,521.8,516.9,518.4
20070323,516.1,520.6,514.3,517.2
20070326,519.2,520.0,510.6,515.4
20070327,512.1,516.5,510.0,510.6
20070328,510.0,516.5,508.1,509.6
20070329,513.0,515.9,510.3,514.0
20070330,515.0,519.4,509.2,513.4
20070402,513.5,515.0,504.1,510.5
20070403,511.7,516.6,511.6,514.1
20070404,514.9,515.0,511.4,513.6
20070405,512.1,517.4,510.5,515.7
20070409,516.5,518.2,513.6,515.8
20070410,515.8,525.1,513.5,524.0
20070411,522.8,524.8,513.4,518.0
20070412,515.6,518.1,513.2,516.5
20070413,515.8,518.0,513.5,516.0
20070416,523.6,535.9,523.0,529.3
20070417,530.0,530.4,523.6,525.3
20070418,527.2,533.0,526.5,529.9
20070419,528.0,534.7,526.5,530.9
20070420,537.3,537.5,529.1,534.2
20070423,534.9,536.4,529.0,531.1
20070424,532.5,533.0,523.7,528.1
20070425,529.9,539.4,527.8,538.0
20070426,537.9,538.5,532.7,535.6
20070427,534.5,535.5,531.5,533.7
20070430,536.4,547.1,534.8,536.2
20070501,538.0,543.2,537.4,542.0
