date,adjOpen,adjHigh,adjLow,adjClose
20070103,7.476,7.584,7.357,7.426196
20070104,7.476,7.634,7.347,7.614076
20070105,7.634,7.664,7.486,7.534968
20070108,7.565,7.654,7.535,7.643741
20070109,7.673,7.772,7.644,7.703071
20070110,7.703,7.703,7.584,7.643741
20070111,7.614,7.713,7.594,7.683295
20070112,7.683,7.832,7.673,7.801955
20070116,7.851,7.921,7.782,7.851398
20070117,7.901,8.01,7.881,7.950282
20070118,7.99,8.148,7.97,8.088719
20070119,8.148,8.227,8.079,8.20738
20070122,8.237,8.336,8.158,8.316153
20070123,8.336,8.524,8.148,8.20738
20070124,8.188,8.257,8.02,8.108496
20070125,7.911,8.425,7.911,8.128273
20070126,8.059,8.385,8.049,8.326041
20070129,8.346,8.415,8.257,8.276599
20070130,8.306,8.326,8.099,8.108496
20070131,8.079,8.089,7.95,8.039277
20070201,8.079,8.207,8.039,8.197492
20070202,8.197,8.197,8.069,8.138161
20070205,8.108,8.286,8.099,8.237046
20070206,8.257,8.455,8.207,8.444702
20070207,8.484,8.544,8.366,8.464479
20070208,8.405,8.474,8.395,8.454591
20070209,8.692,8.87,8.593,8.632582
20070212,8.623,8.652,8.405,8.553475
20070213,8.405,8.405,8.267,8.355706
20070214,8.356,8.544,8.346,8.415037
20070215,8.455,8.544,8.415,8.504033
20070216,8.464,8.642,8.415,8.434814
20070220,8.464,8.593,8.445,8.553475
20070221,8.573,8.583,8.316,8.375483
20070222,8.366,8.435,8.227,8.256822
20070223,8.247,8.267,8.118,8.20738
20070226,8.217,8.247,8.059,8.167827
20070227,8.049,8.069,7.515,7.693183
20070228,7.812,7.891,7.673,7.831621
20070301,7.703,7.861,7.555,7.683295
20070302,7.664,7.683,7.505,7.505303
20070305,7.416,7.565,7.367,7.495415
20070306,7.584,7.594,7.397,7.554745
20070307,7.584,7.614,7.525,7.534968
20070308,7.723,7.911,7.693,7.841509
20070309,7.98,8.039,7.822,7.841509
20070312,7.861,7.921,7.733,7.732737
20070313,7.713,7.782,7.525,7.554745
20070314,7.525,7.545,7.357,7.426196
20070315,7.466,7.575,7.426,7.505303
20070316,7.545,7.565,7.436,7.46575
20070319,7.495,7.733,7.486,7.732737
20070320,7.683,7.802,7.614,7.792067
20070321,7.822,7.95,7.753,7.920616
20070322,7.96,8.01,7.911,7.989835
20070323,8.02,8.138,7.624,7.801955
20070326,7.842,7.97,7.713,7.782179
20070327,7.812,7.812,7.713,7.762402
20070328,7.753,7.95,7.713,7.890951
20070329,7.921,7.94,7.792,7.861286
20070330,7.881,7.931,7.792,7.801955
20070402,7.812,8.01,7.802,7.999724
20070403,8.0,8.099,7.97,7.989835
20070404,7.95,8.079,7.94,7.950282
20070405,7.911,7.98,7.812,7.920616
20070409,7.96,8.039,7.95,7.989835
20070410,8.0,8.118,8.0,8.098608
20070411,8.049,8.089,7.96,8.039277
20070412,8.02,8.069,7.97,7.999724
20070413,8.0,8.01,7.891,7.930505
20070416,7.96,7.99,7.901,7.940393
20070417,7.911,7.931,7.743,7.762402
20070418,7.762,7.802,7.703,7.732737
20070419,7.733,7.772,7.604,7.653629
20070420,7.762,7.772,7.584,7.663518
20070423,7.644,7.842,7.644,7.742625
20070424,7.683,7.762,7.634,7.732737
20070425,7.733,7.822,7.713,7.792067
20070426,8.207,8.286,8.059,8.108496
20070427,8.108,8.138,7.901,7.96017
20070430,8.0,8.138,7.95,7.950282
20070501,7.95,8.01,7.871,7.96017
20070502,7.99,8.108,7.98,8.078831
20070503,8.069,8.138,8.039,8.098608
20070504,8.099,8.128,8.02,8.128273
20070507,8.099,8.128,8.059,8.068943
20070508,8.059,8.306,8.059,8.276599
20070509,8.306,8.385,8.207,8.256822
20070510,8.267,8.326,8.108,8.14805
20070511,8.188,8.326,8.188,8.276599
20070514,8.455,8.87,8.425,8.612805
20070515,8.623,8.88,8.623,8.810573
20070516,8.83,8.85,8.633,8.662247
20070517,8.682,8.771,8.593,8.652359
20070518,8.702,8.741,8.583,8.593028
20070521,8.583,8.751,8.583,8.682024
20070522,8.682,8.731,8.573,8.58314
20070523,8.583,8.722,8.583,8.662247
20070524,8.672,8.722,8.385,8.39526
20070525,8.464,8.484,8.326,8.355706
20070529,8.494,8.494,8.286,8.306264
