date,adjOpen,adjHigh,adjLow,adjClose
20070103,35.999,36.672,35.932,36.4987
20070104,36.499,36.528,35.999,36.287225
20070105,36.114,36.297,35.864,36.104588
20070108,35.999,36.21,35.807,36.094975
20070109,36.412,36.518,35.912,36.094975
20070110,35.951,36.153,35.893,36.104588
20070111,36.239,36.489,35.97,36.450638
20070112,36.374,36.528,36.22,36.4218
20070116,36.528,36.768,36.46,36.633276
20070117,36.797,36.797,36.383,36.508313
20070118,36.681,36.691,35.816,36.527538
20070119,35.855,36.047,35.422,35.518224
20070122,35.662,35.883,35.172,35.325974
20070123,35.259,35.316,34.97,35.133724
20070124,35.278,35.326,35.105,35.220237
20070125,35.23,35.278,34.855,34.931861
20070126,35.124,35.134,34.615,34.672324
20070129,34.672,34.941,34.634,34.787674
20070130,34.797,34.922,34.374,34.633874
20070131,34.605,34.817,34.442,34.653099
20070201,34.778,34.836,34.374,34.826124
20070202,34.826,34.99,34.72,34.864574
20070205,34.865,35.066,34.797,34.960699
20070206,34.97,35.028,34.826,34.903024
20070207,34.913,34.941,34.663,34.701161
20070208,34.663,34.663,34.221,34.355111
20070209,34.326,34.451,34.105,34.153248
20070212,34.249,34.48,34.211,34.258986
20070213,34.317,34.509,34.269,34.383948
20070214,34.538,35.086,34.403,34.960699
20070215,34.961,35.057,34.663,34.739611
20070216,34.528,34.701,34.48,34.480073
20070220,34.394,34.73,34.365,34.710774
20070221,34.595,34.701,34.432,34.518523
20070222,34.23,34.413,33.942,34.028285
20070223,33.961,33.98,33.73,33.73991
20070226,33.788,34.009,33.788,33.97061
20070227,33.932,34.307,33.163,33.31696
20070228,33.394,33.721,33.307,33.566885
20070301,33.336,33.855,32.99,33.643785
20070302,33.576,33.75,33.355,33.518822
20070305,33.307,33.615,33.182,33.211222
20070306,33.384,33.49,33.182,33.374635
20070307,33.394,33.403,32.99,32.999747
20070308,33.182,33.298,33.019,33.115097
20070309,33.259,33.298,32.894,32.990134
20070312,32.836,33.288,32.692,33.105484
