date,adjOpen,adjHigh,adjLow,adjClose
20070103,47.64,48.37,47.59,48.07
20070104,48.05,48.37,47.75,48.19
20070105,48.17,48.25,47.63,47.79
20070108,47.57,48.06,47.32,47.95
20070109,47.9,48.11,47.36,47.75
20070110,47.47,48.12,47.44,48.1
20070111,48.0,48.42,47.94,48.31
20070112,48.1,48.26,47.9,47.99
20070116,48.16,48.46,48.1,48.39
20070117,48.58,48.89,48.12,48.43
20070118,48.05,48.58,47.92,48.15
20070119,48.3,48.83,48.25,48.76
20070122,48.76,49.86,48.7,49.66
20070123,49.57,49.85,49.28,49.83
20070124,49.68,50.4,49.51,50.36
20070125,50.36,50.61,49.93,50.21
20070126,50.0,50.25,49.5,49.7
20070129,49.57,49.65,49.11,49.47
20070130,49.7,50.25,49.37,50.18
20070131,50.07,51.16,49.86,50.93
20070201,50.96,51.24,50.86,51.21
20070202,51.22,51.33,50.73,50.93
20070205,50.81,51.15,50.54,50.96
20070206,50.85,51.32,50.76,51.0
20070207,50.84,51.22,50.8,51.21
20070208,51.06,51.06,50.52,50.93
20070209,51.02,51.19,50.08,50.42
20070212,50.59,50.65,50.25,50.44
20070213,50.35,51.02,50.33,50.95
20070214,51.09,51.55,51.0,51.42
20070215,51.05,51.46,50.89,51.21
20070216,51.16,51.35,51.01,51.25
20070220,51.15,51.75,51.12,51.63
20070221,51.45,51.85,51.27,51.65
20070222,51.8,51.95,51.39,51.64
20070223,51.55,51.75,50.72,51.03
20070226,51.17,51.29,50.43,50.81
20070227,50.61,50.61,47.6,49.22
20070228,49.23,49.89,48.89,49.4
20070301,48.53,49.44,48.3,49.2
20070302,48.95,49.0,48.11,48.19
20070305,47.6,48.16,47.2,47.54
20070306,47.95,48.68,47.43,48.52
20070307,48.69,48.87,48.26,48.36
20070308,48.79,49.35,48.64,48.74
20070309,49.12,49.35,48.53,48.82
20070312,48.64,48.98,48.6,48.84
20070313,48.45,48.5,46.56,46.7
20070314,46.72,47.55,45.91,47.3
20070315,47.14,48.19,47.14,47.7
20070316,47.7,47.83,46.98,47.03
20070319,47.32,47.8,47.16,47.58
20070320,47.51,47.88,47.33,47.75
20070321,47.81,49.65,47.81,49.05
20070322,49.06,49.1,48.36,48.47
20070323,48.59,48.89,48.43,48.52
20070326,48.55,48.78,47.94,48.7
20070327,48.59,48.82,48.35,48.57
20070328,48.29,48.48,47.79,47.99
20070329,48.24,48.64,48.02,48.5
20070330,48.61,49.02,47.95,48.38
20070402,48.38,48.49,47.7,48.24
20070403,48.25,48.59,48.09,48.56
20070404,48.56,48.71,48.27,48.56
20070405,48.35,48.89,48.34,48.77
20070409,48.78,49.13,48.66,49.0
20070410,49.01,49.34,48.98,49.24
20070411,49.1,49.34,48.98,49.15
20070412,48.99,49.3,48.73,49.2
20070413,49.1,49.2,48.66,49.09
20070416,49.36,50.25,49.32,49.97
20070417,49.97,50.42,49.71,50.18
20070418,51.5,52.39,51.43,52.07
20070419,51.5,52.23,51.35,52.09
20070420,52.5,52.7,52.1,52.54
20070423,52.25,52.5,52.06,52.28
20070424,52.06,52.27,51.65,52.16
20070425,52.24,52.94,52.18,52.82
20070426,52.67,53.0,52.56,52.94
20070427,52.72,52.79,52.14,52.55
20070430,52.46,53.06,51.99,52.1
20070501,52.4,52.5,51.6,52.26
20070502,52.43,52.77,52.36,52.55
20070503,52.83,52.92,52.38,52.7
20070504,52.8,53.05,52.59,52.63
20070507,52.81,52.95,52.55,52.73
20070508,52.48,52.65,52.23,52.45
20070509,52.55,53.25,52.43,53.2
20070510,52.79,53.03,51.98,52.0
20070511,52.12,52.38,51.72,52.15
20070514,52.0,52.16,51.55,51.83
20070515,52.09,52.71,52.0,52.03
20070516,52.37,53.07,52.2,52.98
20070517,52.78,52.96,52.5,52.56
20070518,52.73,52.92,52.45,52.54
20070521,52.38,52.81,52.31,52.56
20070522,52.43,52.68,52.09,52.29
20070523,52.29,52.64,51.93,51.99
20070524,52.02,52.24,51.45,51.59
20070525,51.71,51.85,51.26,51.64
20070529,51.52,51.92,51.45,51.82
20070530,51.43,52.06,51.35,52.06
20070531,52.25,52.31,51.67,51.83
20070601,51.92,52.08,51.66,51.9
20070604,51.56,51.8,51.54,51.57
20070605,51.24,51.49,51.19,51.22
20070606,50.95,51.01,50.26,50.56
20070607,50.3,50.65,49.74,49.82
20070608,49.72,50.48,49.64,50.41
20070611,50.27,50.84,50.03,50.43
20070612,50.22,50.38,49.34,49.35
20070613,49.63,50.34,49.52,50.29
20070614,50.27,50.83,50.04,50.32
