date,adjOpen,adjHigh,adjLow,adjClose
20070103,29.91,30.25,29.4,29.86
20070104,29.7,29.97,29.44,29.81
20070105,29.63,29.75,29.45,29.64
20070108,29.65,30.1,29.53,29.93
20070109,30.0,30.18,29.73,29.96
20070110,29.8,29.89,29.43,29.66
20070111,29.76,30.75,29.65,30.7
20070112,30.65,31.39,30.64,31.21
20070116,31.26,31.45,31.03,31.16
20070117,31.26,31.44,31.01,31.1
20070118,31.15,31.37,30.8,31.0
20070119,30.73,31.11,30.69,31.11
20070122,31.06,31.12,30.51,30.72
20070123,30.63,30.96,30.52,30.74
20070124,30.78,31.3,30.65,31.09
20070125,31.08,31.48,30.45,30.45
20070126,31.22,31.23,30.6,30.6
20070129,30.65,30.78,30.34,30.53
20070130,30.57,30.64,30.14,30.48
20070131,30.41,31.1,30.35,30.86
20070201,30.84,30.94,30.37,30.56
20070202,30.82,30.84,30.13,30.19
20070205,29.97,30.02,29.41,29.61
20070206,29.59,29.75,29.22,29.51
20070207,29.64,29.7,29.25,29.37
20070208,29.24,29.8,29.2,29.26
20070209,29.35,29.4,28.93,28.98
20070212,28.89,29.09,28.83,28.94
20070213,29.04,29.2,28.96,29.01
20070214,29.17,29.69,29.15,29.4
20070215,29.58,29.65,29.22,29.46
20070216,28.905,28.94,28.65,28.74
20070220,28.63,28.86,28.47,28.83
20070221,28.75,29.39,28.74,29.35
20070222,29.305,29.54,29.16,29.39
20070223,29.22,29.28,28.89,28.9
20070226,28.96,29.12,28.82,29.07
20070227,28.71,28.97,27.79,27.87
20070228,27.95,28.25,27.92,28.17
20070301,27.82,28.33,27.73,28.09
20070302,28.02,28.16,27.76,27.76
20070305,27.49,27.91,27.41,27.5499
20070306,27.8,27.94,27.65,27.83
20070307,27.76,27.9,27.55,27.61
20070308,27.72,27.85,26.6,27.32
20070309,27.42,27.48,27.03,27.29
20070312,27.18,27.48,27.13,27.44
20070313,27.25,27.4,26.71,26.72
20070314,26.82,27.4,26.73,27.4
20070315,27.32,27.47,27.2,27.28
20070316,27.35,27.48,27.2,27.33
20070319,27.34,27.83,27.2,27.83
20070320,27.93,28.16,27.76,27.84
20070321,27.895,28.52,27.56,28.52
20070322,28.52,28.55,28.01,28.27
20070323,28.22,28.27,27.8,28.02
20070326,27.94,28.22,27.7,28.22
20070327,28.04,28.16,27.65,27.72
20070328,27.58,28.0,27.4,27.64
20070329,27.84,27.845,27.49,27.75
20070330,27.75,27.95,27.5,27.87
20070402,27.89,27.93,27.56,27.74
20070403,27.86,28.06,27.75,27.87
20070404,28.01,28.78,27.9,28.5
20070405,28.32,28.65,28.3,28.55
20070409,28.575,28.72,28.39,28.57
20070410,28.5,28.64,28.22,28.4
20070411,28.3,28.57,27.99,28.11
20070412,28.06,28.62,28.04,28.54
20070413,28.43,28.7,28.1,28.61
20070416,28.6,28.75,28.21,28.73
20070417,28.63,28.89,28.56,28.85
20070418,28.61,28.67,28.36,28.6
20070419,28.34,28.89,28.26,28.69
20070420,28.98,29.1,28.7,29.02
20070423,28.96,28.99,28.67,28.78
20070424,28.79,28.96,28.59,28.79
20070425,28.86,29.0,28.69,28.99
20070426,29.09,29.35,28.91,29.1
20070427,30.17,30.74,30.0,30.12
20070430,30.13,30.37,29.94,29.94
20070501,29.94,30.42,29.9,30.4
20070502,30.39,30.69,30.3,30.61
20070503,30.6,31.0,30.53,30.97
20070504,30.68,30.7,30.29,30.56
20070507,30.52,30.76,30.48,30.71
20070508,30.68,30.94,30.58,30.75
20070509,30.7,30.93,30.57,30.7799
20070510,30.68,30.93,30.53,30.58
20070511,30.57,30.98,30.55,30.89
20070514,30.84,30.99,30.81,30.97
20070515,30.9,31.09,30.84,30.9
20070516,31.0,31.09,30.81,31.07
20070517,31.03,31.14,30.96,30.98
20070518,30.97,30.99,30.58,30.83
20070521,30.73,31.16,30.73,31.05
20070522,30.9,30.93,30.66,30.69
20070523,30.84,30.84,30.57,30.58
20070524,30.54,30.8,29.96,30.17
20070525,30.28,30.66,30.18,30.48
20070529,30.49,30.83,30.39,30.79
20070530,30.55,31.13,30.51,31.11
20070531,31.12,31.16,30.61,30.6901
20070601,30.79,30.9,30.55,30.59
20070604,30.42,30.76,30.4,30.715
20070605,30.62,30.63,30.33,30.58
20070606,30.37,30.53,30.25,30.29
20070607,30.02,30.29,29.59,29.62
20070608,29.58,30.06,29.41,30.05
20070611,29.94,30.25,29.93,30.02
20070612,29.96,30.24,29.77,29.85
20070613,29.97,30.41,29.85,30.39
20070614,30.35,30.71,30.3,30.52
20070615,30.86,30.88,30.43,30.49
20070618,30.69,30.72,30.42,30.51
20070619,30.48,30.66,30.38,30.46
20070620,30.44,30.51,29.96,30.01
20070621,29.975,30.3,29.91,30.22
20070622,30.0,30.1,29.45,29.49
20070625,29.47,29.77,29.38,29.49
20070626,29.55,29.8,29.5,29.52
20070627,29.36,29.95,29.36,29.87
20070628,29.86,29.97,29.68,29.83
20070629,29.87,29.93,29.04,29.47
20070702,29.67,29.8,29.49,29.74
20070703,29.785,30.22,29.78,30.02
20070705,30.05,30.22,29.83,29.99
20070706,29.91,30.04,29.66,29.97
20070709,29.86,29.95,29.81,29.87
20070710,29.7,29.99,29.18,29.33
20070711,29.24,29.65,29.21,29.49
20070712,29.56,30.11,29.44,30.07
20070713,29.94,30.02,29.66,29.82
20070716,29.76,30.24,29.72,30.03
20070717,30.02,30.88,30.01,30.7799
20070718,30.51,30.97,30.5,30.92
20070719,31.05,31.84,30.93,31.51
20070720,31.15,31.2,30.79,31.16
20070723,31.29,31.52,31.12,31.19
20070724,31.01,31.48,30.71,30.8
20070725,30.99,31.3,30.37,30.71
20070726,30.24,30.53,29.51,29.98
20070727,29.93,30.0,29.36,29.3901
20070730,29.405,29.49,28.95,29.4
20070731,29.71,29.716,28.98,28.99
20070801,28.95,29.55,28.82,29.3
20070802,29.19,29.79,29.02,29.52
20070803,29.45,29.78,28.9,28.9601
20070806,29.05,29.54,28.75,29.54
20070807,29.33,29.79,29.05,29.55
20070808,29.72,30.01,29.21,30.0
20070809,29.64,30.1,28.92,29.3
20070810,28.9,29.05,28.26,28.71
20070813,28.94,28.99,28.44,28.63
20070814,28.77,28.89,28.2,28.27
20070815,28.24,28.99,28.05,28.1
20070816,27.88,28.35,27.51,27.81
20070817,28.09,28.25,27.82,28.25
20070820,28.18,28.49,28.08,28.26
20070821,28.1,28.32,27.87,28.07
20070822,28.27,28.32,28.01,28.22
20070823,28.28,28.33,28.1,28.3
20070824,28.21,28.84,28.07,28.81
20070827,28.61,28.77,28.4,28.49
20070828,28.3,28.49,27.91,27.93
20070829,28.13,28.61,27.82,28.59
20070830,28.42,28.93,28.32,28.45
20070831,28.7,28.92,28.36,28.73
20070904,28.5,29.1,28.48,28.81
20070905,28.65,28.73,28.42,28.48
20070906,28.56,29.01,28.55,28.91
20070907,28.62,28.83,28.32,28.44
20070910,28.67,28.75,28.41,28.48
20070911,28.63,28.95,28.58,28.93
20070912,28.81,29.17,28.8,28.93
20070913,29.12,29.26,28.96,29.16
20070914,28.98,29.11,28.88,29.04
20070917,28.79,28.88,28.62,28.725
20070918,28.7,28.965,28.27,28.93
20070919,28.87,28.91,28.3,28.67
20070920,28.48,28.58,28.34,28.4201
20070921,28.7,28.81,28.44,28.6499
20070924,28.81,29.61,28.8,29.08
20070925,29.14,29.56,29.11,29.5599
20070926,29.68,29.85,29.48,29.5
20070927,29.7,29.72,29.44,29.49
20070928,29.49,29.69,29.23,29.46
20071001,29.46,29.79,29.41,29.7701
20071002,29.7,29.85,29.57,29.7
20071003,29.71,29.85,29.29,29.4525
20071004,29.56,29.77,29.44,29.71
20071005,29.89,29.99,29.73,29.84
20071008,29.66,29.85,29.6,29.84
20071009,30.03,30.39,30.0,30.0999
20071010,30.04,30.37,30.03,30.23
20071011,30.3,30.63,29.79,29.91
20071012,30.03,30.4,29.95,30.17
20071015,30.1,30.33,30.0,30.04
20071016,30.24,30.58,30.23,30.32
20071017,30.75,31.23,30.65,31.08
20071018,31.22,31.23,30.63,31.16
20071019,31.09,31.09,30.11,30.17
20071022,30.12,30.7,30.12,30.51
20071023,30.71,31.12,30.71,30.9
20071024,30.82,31.3,30.5,31.25
20071025,31.57,32.22,31.49,31.99
20071026,36.02,36.03,34.56,35.03
20071029,34.85,35.29,34.45,34.57
20071030,34.37,35.59,34.35,35.57
20071031,35.52,37.0,35.51,36.81
20071101,36.53,37.49,36.36,37.06
20071102,37.22,37.5,36.42,37.06
20071105,36.76,37.1,36.63,36.73
20071106,36.59,36.66,35.87,36.41
20071107,36.04,36.16,35.45,35.52
20071108,35.6,35.9,34.4,34.74
20071109,34.18,34.54,33.65,33.73
20071112,33.32,33.71,33.02,33.38
20071113,33.54,34.67,33.38,34.46
20071114,34.62,34.75,33.75,33.93
20071115,33.76,34.1,33.55,33.76
20071116,33.86,34.26,33.71,34.09
20071119,33.96,34.24,33.87,33.96
20071120,34.23,34.97,34.1,34.58
20071121,34.4,34.73,34.18,34.23
20071123,34.36,34.44,33.71,34.11
20071126,34.09,34.37,32.93,32.97
20071127,33.27,33.6,32.68,33.06
20071128,33.38,33.89,32.9,33.7
20071129,33.58,33.93,33.31,33.59
20071130,33.92,34.12,33.19,33.6
20071203,33.5,33.64,32.68,32.92
20071204,32.74,33.24,32.63,32.77
20071205,33.14,34.52,33.03,34.15
20071206,34.26,34.61,33.87,34.55
20071207,34.61,34.7,34.22,34.53
20071210,34.64,34.95,34.47,34.76
20071211,34.73,34.99,33.93,34.1
20071212,34.61,35.09,33.93,34.47
20071213,34.48,35.45,34.28,35.22
