date,adjOpen,adjHigh,adjLow,adjClose
20070103,1418.03,1429.42,1407.86,1416.6
20070104,1416.6,1421.84,1408.22,1418.34
20070105,1418.34,1418.34,1405.75,1409.71
20070108,1409.26,1414.98,1403.97,1412.84
20070109,1412.84,1415.61,1405.42,1412.11
20070110,1411.94,1415.99,1404.33,1414.85
20070111,1414.84,1427.12,1414.84,1423.82
20070112,1423.82,1431.23,1422.58,1430.73
20070116,1430.73,1433.93,1428.62,1431.9
20070117,1431.77,1435.27,1428.57,1430.62
20070118,1430.59,1433.3,1424.21,1426.37
20070119,1426.35,1431.57,1425.19,1430.5
20070122,1430.47,1431.39,1420.4,1422.95
20070123,1422.95,1431.33,1421.66,1427.99
20070124,1427.96,1440.14,1427.96,1440.13
20070125,1440.12,1440.69,1422.34,1423.9
20070126,1423.9,1427.27,1416.96,1422.18
20070129,1422.03,1426.94,1418.46,1420.62
20070130,1420.61,1428.82,1420.61,1428.82
20070131,1428.65,1441.61,1424.78,1438.24
20070201,1437.9,1446.64,1437.9,1445.94
20070202,1445.94,1449.33,1444.49,1448.39
20070205,1448.33,1449.38,1443.85,1446.99
20070206,1446.98,1450.19,1443.4,1448.0
20070207,1447.41,1452.99,1446.44,1450.02
20070208,1449.99,1450.45,1442.81,1448.31
20070209,1448.25,1452.45,1433.44,1438.06
20070212,1438.0,1439.11,1431.44,1433.37
20070213,1433.22,1444.41,1433.22,1444.26
20070214,1443.91,1457.65,1443.91,1455.3
20070215,1455.15,1457.97,1453.19,1456.81
20070216,1456.77,1456.77,1451.57,1455.54
20070220,1455.53,1460.53,1449.2,1459.68
20070221,1459.6,1459.6,1452.02,1457.63
20070222,1457.29,1461.57,1450.51,1456.38
20070223,1456.22,1456.22,1448.36,1451.19
20070226,1451.04,1456.95,1445.48,1449.37
20070227,1449.25,1449.25,1389.42,1399.04
20070228,1398.64,1415.89,1396.65,1406.82
20070301,1406.8,1409.46,1380.87,1403.17
20070302,1403.16,1403.4,1386.87,1387.17
20070305,1387.11,1391.86,1373.97,1374.12
20070306,1374.06,1397.9,1374.06,1395.41
20070307,1395.02,1401.16,1390.64,1391.97
20070308,1391.88,1407.93,1391.88,1401.89
20070309,1401.89,1410.15,1397.3,1402.85
20070312,1402.8,1409.34,1398.4,1406.6
20070313,1406.23,1406.23,1377.71,1377.95
20070314,1377.86,1388.09,1363.98,1387.17
20070315,1387.11,1395.73,1385.16,1392.28
20070316,1392.28,1397.51,1383.63,1386.95
20070319,1386.95,1403.2,1386.95,1402.06
20070320,1402.04,1411.53,1400.7,1410.94
20070321,1410.92,1437.77,1409.75,1435.04
20070322,1435.04,1437.66,1429.88,1434.54
20070323,1434.54,1438.89,1433.21,1436.11
20070326,1436.11,1437.65,1423.28,1437.5
20070327,1437.49,1437.49,1425.54,1428.61
20070328,1428.35,1428.35,1414.07,1417.23
20070329,1417.17,1426.24,1413.27,1422.53
20070330,1422.52,1429.22,1408.9,1420.86
20070402,1420.83,1425.49,1416.37,1424.55
20070403,1424.27,1440.57,1424.27,1437.77
20070404,1437.75,1440.16,1435.08,1439.37
20070405,1438.94,1444.88,1436.67,1443.76
20070409,1443.77,1448.1,1443.28,1444.61
20070410,1444.58,1448.73,1443.99,1448.39
20070411,1448.23,1448.39,1436.15,1438.87
20070412,1438.87,1448.02,1433.91,1447.8
20070413,1447.8,1453.11,1444.15,1452.85
20070416,1452.84,1468.62,1452.84,1468.47
20070417,1468.47,1474.35,1467.15,1471.48
20070418,1471.47,1476.57,1466.41,1472.5
20070419,1472.48,1474.23,1464.47,1470.73
20070420,1470.69,1484.74,1470.69,1484.35
20070423,1484.33,1487.32,1480.19,1480.93
20070424,1480.93,1483.82,1473.74,1480.41
20070425,1480.28,1496.59,1480.28,1495.42
20070426,1495.27,1498.02,1491.17,1494.25
20070427,1494.21,1497.32,1488.67,1494.07
20070430,1494.07,1497.16,1482.29,1482.37
20070501,1482.37,1487.27,1476.7,1486.3
20070502,1486.13,1499.1,1486.13,1495.92
20070503,1495.56,1503.34,1495.56,1502.39
20070504,1502.35,1510.34,1501.8,1505.62
20070507,1505.57,1511.0,1505.54,1509.48
20070508,1509.36,1509.36,1500.66,1507.72
20070509,1507.32,1513.8,1503.77,1512.58
