date,adjOpen,adjHigh,adjLow,adjClose
20070103,47.1,48.23,47.06,47.55
20070104,47.61,47.99,47.32,47.78
20070105,47.67,47.8,47.15,47.39
20070108,47.1,47.31,46.9,47.0
20070109,47.48,47.66,47.18,47.39
20070110,47.22,47.62,47.09,47.28
20070111,47.35,47.73,47.21,47.6
20070112,47.62,48.11,47.21,47.98
20070116,47.98,48.48,47.88,48.31
20070117,48.32,48.41,48.09,48.2
20070118,48.18,48.78,48.09,48.39
20070119,48.6,48.74,48.19,48.31
20070122,48.16,48.25,47.61,47.96
20070123,47.96,48.15,47.46,47.81
20070124,48.07,48.7,47.99,48.61
20070125,48.61,48.64,48.09,48.15
20070126,48.05,48.36,47.47,47.67
20070129,47.6,47.88,47.5,47.63
20070130,47.75,47.84,46.92,47.28
20070131,47.31,47.96,47.04,47.69
20070201,47.51,48.08,47.44,47.78
20070202,47.75,48.42,47.64,48.08
20070205,48.5,48.9,48.42,48.52
20070206,48.53,48.77,48.32,48.58
20070207,48.42,48.75,48.28,48.58
20070208,48.36,48.6,48.13,48.31
20070209,48.37,48.54,47.67,47.97
20070212,48.15,48.24,47.68,47.74
20070213,47.8,48.17,47.74,47.98
20070214,48.08,48.13,47.75,47.87
20070215,47.82,48.54,47.82,48.36
20070216,48.38,48.85,48.25,48.48
20070220,49.86,50.29,49.41,50.26
20070221,50.01,50.42,49.92,49.97
20070222,49.97,50.18,49.55,49.69
20070223,49.55,49.89,49.29,49.57
20070226,49.57,50.05,49.45,49.98
20070227,49.6,49.78,48.2,48.2
20070228,48.25,48.66,48.01,48.3
20070301,47.8,48.17,47.45,47.89
20070302,47.85,48.32,47.71,47.81
20070305,47.65,48.27,47.44,47.47
20070306,47.84,48.29,47.75,48.04
20070307,48.06,48.25,47.61,47.93
20070308,47.79,48.15,47.38,47.88
20070309,48.02,48.13,47.15,47.42
20070312,47.42,47.63,47.1,47.26
20070313,46.99,47.13,46.04,46.18
20070314,46.09,46.18,45.06,45.73
20070315,45.83,46.14,45.49,46.0
20070316,46.05,46.78,45.75,46.21
20070319,46.51,46.82,46.38,46.59
20070320,46.48,47.4,46.44,47.3
20070321,47.22,47.85,46.95,47.77
20070322,47.79,48.2,47.56,48.01
20070323,48.01,48.15,47.75,47.91
20070326,47.81,47.92,47.15,47.84
20070327,47.57,47.8,47.03,47.49
20070328,47.1,47.19,46.46,46.64
20070329,47.0,47.04,46.36,46.72
20070330,46.86,47.09,46.64,46.95
20070402,47.06,47.52,46.85,47.4
20070403,47.51,48.29,47.47,48.1
20070404,48.0,48.32,47.9,48.05
20070405,47.89,48.45,47.86,48.27
20070409,48.27,48.55,47.89,48.47
20070410,48.31,48.42,47.94,47.94
20070411,47.95,48.11,47.06,47.27
20070412,47.21,47.5,46.91,47.26
20070413,47.19,47.42,46.83,47.41
20070416,47.63,48.12,47.51,48.07
20070417,48.31,48.42,47.89,48.17
20070418,47.96,48.18,47.83,47.97
20070419,47.68,48.38,47.65,48.34
20070420,48.84,49.84,48.59,49.76
20070423,49.6,49.95,48.91,48.93
20070424,48.6,48.85,48.13,48.69
20070425,48.85,49.1,48.63,48.81
20070426,48.73,49.06,48.57,48.7
20070427,48.52,48.69,48.32,48.34
20070430,48.34,48.66,47.87,47.92
20070501,47.92,48.56,47.51,48.33
20070502,48.3,48.74,48.17,48.28
20070503,48.52,48.75,48.2,48.36
20070504,48.43,48.5,48.05,48.27
20070507,48.43,48.88,48.28,48.61
20070508,48.37,48.64,48.08,48.1
20070509,48.07,48.28,47.84,47.93
20070510,47.6,48.33,47.56,47.75
20070511,47.84,47.91,47.41,47.78
20070514,47.66,47.99,47.49,47.84
20070515,48.0,48.1,47.41,47.62
20070516,47.49,47.74,46.98,47.18
20070517,47.06,47.39,47.02,47.11
20070518,47.31,47.36,47.18,47.27
20070521,47.13,47.25,46.62,46.62
20070522,46.5,46.8,46.47,46.54
20070523,46.74,47.14,46.32,46.33
20070524,46.41,46.95,46.35,46.65
20070525,46.8,47.0,46.64,46.91
20070529,47.13,47.54,46.76,46.94
20070530,46.7,47.15,46.47,47.12
20070531,47.29,47.8,47.1,47.6
20070601,47.9,49.94,47.73,49.47
20070604,50.3,51.44,50.25,51.21
20070605,51.12,51.2,50.36,50.52
20070606,50.3,51.04,50.2,50.75
20070607,50.39,50.61,49.61,49.76
20070608,49.89,50.15,49.6,50.08
20070611,49.9,50.12,49.55,49.81
20070612,49.53,49.81,48.9,48.91
20070613,49.18,49.54,48.97,49.5
20070614,49.53,49.65,48.98,49.28
20070615,49.5,49.68,49.21,49.34
20070618,49.25,49.45,49.07,49.11
20070619,48.93,48.97,48.59,48.81
20070620,49.06,49.25,48.56,48.59
20070621,48.71,48.79,48.08,48.39
20070622,48.25,48.42,47.83,47.83
20070625,48.0,48.12,47.69,47.82
20070626,47.82,48.49,47.75,47.97
20070627,47.83,48.49,47.76,48.46
20070628,48.33,48.5,48.18,48.21
20070629,48.31,48.5,47.87,48.11
20070702,48.2,48.49,48.14,48.33
20070703,48.34,48.47,48.13,48.47
20070705,48.36,48.46,48.08,48.09
20070706,48.09,48.49,47.99,48.38
20070709,48.38,48.82,48.26,48.5
20070710,48.1,48.25,47.49,47.58
20070711,47.45,47.89,47.23,47.68
20070712,49.11,49.23,48.61,48.83
20070713,48.73,49.26,48.67,49.15
20070716,48.91,49.08,48.7,48.94
20070717,48.78,48.88,48.3,48.35
20070718,48.35,48.74,47.96,48.04
20070719,48.1,48.98,48.1,48.79
20070720,48.48,48.87,47.92,48.06
20070723,48.3,48.4,47.95,48.11
20070724,47.95,48.66,47.92,48.02
20070725,48.42,48.45,47.55,47.87
20070726,47.51,47.77,46.53,46.82
20070727,46.72,46.85,45.92,45.94
20070730,45.86,46.46,45.8,46.21
20070731,46.4,46.81,45.9,45.95
20070801,45.9,46.24,45.48,46.22
20070802,46.2,47.11,46.08,46.73
20070803,46.65,46.72,45.5,45.52
20070806,45.89,47.05,45.78,47.02
20070807,46.72,47.48,46.55,47.06
20070808,47.35,48.42,46.7,48.42
20070809,47.75,48.0,46.39,46.45
20070810,46.0,47.27,45.7,46.07
20070813,46.31,46.6,46.08,46.17
20070814,44.08,44.19,43.52,43.82
20070815,43.76,43.91,43.09,43.28
20070816,43.05,43.95,42.92,43.5
20070817,44.47,44.65,43.19,43.49
20070820,43.7,43.82,42.96,43.59
20070821,43.46,43.75,43.19,43.7
20070822,43.75,43.89,43.43,43.75
20070823,43.75,43.83,43.04,43.17
20070824,43.16,43.92,43.13,43.74
20070827,43.75,44.03,43.56,43.82
20070828,43.67,44.2,43.4,43.4
20070829,43.56,44.32,43.45,44.19
20070830,43.21,43.65,43.16,43.32
20070831,43.45,43.94,43.35,43.63
20070904,43.51,43.64,43.27,43.3
20070905,43.2,43.21,42.39,42.45
20070906,43.49,43.59,42.65,42.76
20070907,42.5,42.88,42.31,42.39
20070910,42.67,42.68,42.09,42.27
20070911,42.47,43.02,42.31,42.94
20070912,42.75,43.2,42.59,42.71
20070913,42.91,43.47,42.77,43.06
20070914,42.79,43.54,42.65,43.32
20070917,43.23,43.54,42.99,43.32
